player,pokemon,turns_active,times_brought_in,kos,pct_dmg_dealt,pct_dmg_taken,pct_dmg_healed,hits_taken,tera,tera_type,team_tera,team_tera_first,lead,faint,team_win
z0mog,Cinderace,9,4,1,114,127,27,5,0,,1,0,0,1,0
z0mog,Kingambit,6,3,2,214,126,26,2,1,Flying,1,0,0,1,0
z0mog,Landorus-Therian,4,4,0,139,100,0,4,0,,1,0,1,1,0
z0mog,Scream Tail,3,2,0,0,168,68,3,0,,1,0,0,1,0
z0mog,Slowking-Galar,2,5,0,35,109,9,2,0,,1,0,0,1,0
z0mog,Zamazenta,2,4,1,100,100,0,3,0,,1,0,0,1,0
carkoala,Amoonguss,3,3,0,25,84,34,2,0,,1,1,0,0,1
carkoala,Baxcalibur,5,3,1,168,100,0,4,1,Ice,1,1,1,1,1
carkoala,Dragapult,3,3,0,19,100,0,1,0,,1,1,0,1,1
carkoala,Great Tusk,5,2,0,45,131,31,5,0,,1,1,0,1,1
carkoala,Iron Valiant,0,2,0,0,100,0,2,0,,1,1,0,1,1
carkoala,Kingambit,9,6,5,317,124,44,4,0,,1,1,0,0,1
eternally,Azumarill,1,1,0,0,125,25,2,0,,1,1,0,1,0
eternally,Dragapult,3,3,1,0,100,0,2,0,,1,1,0,1,0
eternally,Enamorus,1,1,0,53,100,0,1,1,Dark,1,1,0,1,0
eternally,Meowscarada,2,1,0,29,100,0,2,0,,1,1,1,1,0
eternally,Sneasler,3,3,1,64,100,0,4,0,,1,1,0,1,0
eternally,Ursaluna,3,3,0,97,100,0,4,0,,1,1,0,1,0
wait of the world,Dragapult,9,4,3,222,100,0,2,0,,0,0,0,1,1
wait of the world,Enamorus,3,2,1,160,29,0,2,0,,0,0,1,0,1
wait of the world,Great Tusk,2,2,0,23,100,0,2,0,,0,0,0,1,1
wait of the world,Hoopa-Unbound,1,1,1,3,0,0,0,0,,0,0,0,0,1
wait of the world,Kingambit,1,1,1,76,53,0,1,0,,0,0,0,0,1
wait of the world,Slowking-Galar,0,1,0,0,0,0,0,0,,0,0,0,0,1
Lucians Call,Dragapult,0,0,0,0,0,0,0,0,,1,1,0,0,1
Lucians Call,Garganacl,4,2,0,23,36,30,2,1,Water,1,1,0,0,1
Lucians Call,Great Tusk,2,2,1,88,113,13,5,0,,1,1,0,1,1
Lucians Call,Hoopa-Unbound,13,2,2,479,100,0,4,0,,1,1,0,1,1
Lucians Call,Skeledirge,0,0,0,0,0,0,0,0,,1,1,0,0,1
Lucians Call,Zapdos,12,5,3,260,145,47,6,0,,1,1,1,0,1
MANNAT,Dragapult,2,1,0,77,100,0,2,0,,1,0,0,1,0
MANNAT,Enamorus,2,2,1,102,100,0,1,1,Fairy,1,0,0,1,0
MANNAT,Great Tusk,3,4,0,34,100,0,2,0,,1,0,0,1,0
MANNAT,Kingambit,2,3,0,85,100,0,2,0,,1,0,0,1,0
MANNAT,Volcanion,2,2,0,19,100,0,3,0,,1,0,0,1,0
MANNAT,Zapdos,14,6,1,77,500,400,15,0,,1,0,1,1,0
Fusien,Cresselia,7,6,0,39,267,167,7,0,,1,0,0,1,0
Fusien,Great Tusk,10,7,1,309,100,0,4,0,,1,0,0,1,0
Fusien,Heatran,4,3,0,16,100,0,2,0,,1,0,0,1,0
Fusien,Kingambit,5,3,1,210,132,32,4,1,Flying,1,0,0,1,0
Fusien,Landorus-Therian,6,6,0,95,100,0,4,0,,1,0,1,1,0
Fusien,Toxapex,19,11,1,273,285,274,6,0,,1,0,0,0,0
stareal,Cinderace,4,3,0,15,49,0,1,0,,1,1,0,0,1
stareal,Corviknight,7,4,1,8,200,145,7,0,,1,1,0,0,1
stareal,Dondozo,12,3,2,277,164,64,5,0,,1,1,0,1,1
stareal,Garganacl,25,6,2,191,428,368,15,1,Water,1,1,0,0,1
stareal,Landorus-Therian,2,3,0,7,106,6,4,0,,1,1,1,1,1
stareal,Toxapex,7,7,0,0,248,148,8,0,,1,1,0,1,1
mimilimi,Corviknight,1,1,0,0,100,0,2,0,,1,1,0,1,0
mimilimi,Enamorus,6,2,1,220,100,0,2,0,,1,1,1,1,0
mimilimi,Great Tusk,1,1,0,58,100,0,1,0,,1,1,0,1,0
mimilimi,Skeledirge,6,1,1,115,91,91,4,1,Water,1,1,0,1,0
mimilimi,Slowking-Galar,5,3,0,9,133,33,2,0,,1,1,0,1,0
mimilimi,Ting-Lu,3,2,1,84,118,18,1,0,,1,1,0,1,0
Kaif☆彡Plays♗,Dragapult,4,2,0,0,100,0,3,0,,1,0,0,1,1
Kaif☆彡Plays♗,Enamorus-Therian,3,1,0,27,55,24,3,0,,1,0,0,0,1
Kaif☆彡Plays♗,Hatterene,11,1,5,447,209,192,4,1,Water,1,0,0,0,1
Kaif☆彡Plays♗,Iron Valiant,4,1,0,64,100,0,3,0,,1,0,0,1,1
Kaif☆彡Plays♗,Meowscarada,2,1,0,30,100,0,2,0,,1,0,1,1,1
Kaif☆彡Plays♗,Zamazenta,0,0,0,0,0,0,0,0,,1,0,0,0,1
myjava,Dragapult,3,3,1,25,100,0,2,0,,1,0,0,1,0
myjava,Great Tusk,2,2,0,30,117,17,3,0,,1,0,0,1,0
myjava,Kingambit,6,4,1,156,143,43,4,0,,1,0,0,1,0
myjava,Slowking-Galar,8,2,1,234,134,34,3,1,Flying,1,0,0,1,0
myjava,Volcanion,3,2,0,62,100,0,2,0,,1,0,0,1,0
myjava,Zapdos,3,4,0,37,100,0,3,0,,1,0,1,1,0
Kushalos,Alomomola,1,1,1,89,74,18,2,0,,1,1,0,0,1
Kushalos,Cinderace,3,2,0,11,100,0,2,0,,1,1,1,1,1
Kushalos,Garganacl,11,2,3,95,223,223,9,0,,1,1,0,0,1
Kushalos,Gholdengo,1,1,0,22,6,0,0,0,,1,1,0,0,1
Kushalos,Landorus-Therian,7,4,2,160,131,31,2,0,,1,1,0,1,1
Kushalos,Meowscarada,4,3,0,185,100,0,2,1,Grass,1,1,0,1,1
ice pais,Dragonite,0,0,0,0,0,0,0,0,,1,0,0,0,1
ice pais,Great Tusk,4,4,2,151,121,37,4,1,Fairy,1,0,0,0,1
ice pais,Iron Valiant,2,1,0,0,100,0,1,0,,1,0,0,1,1
ice pais,Kingambit,6,2,2,213,52,0,1,0,,1,0,0,0,1
ice pais,Slowking-Galar,6,7,1,100,254,154,7,0,,1,0,0,1,1
ice pais,Zapdos,10,4,0,108,350,250,8,0,,1,0,1,1,1
ZoroDark,Dragapult,6,4,0,62,59,0,3,0,,1,1,0,0,0
ZoroDark,Enamorus,4,2,0,69,100,0,2,1,Steel,1,1,0,1,0
ZoroDark,Iron Valiant,3,1,2,171,100,0,2,0,,1,1,0,1,0
ZoroDark,Kingambit,2,1,0,52,113,13,3,0,,1,1,0,1,0
ZoroDark,Sneasler,8,4,1,238,100,0,1,0,,1,1,1,1,0
ZoroDark,Zamazenta,5,1,0,155,100,0,2,0,,1,1,0,1,0
One Last Boba,Enamorus,3,5,2,63,74,0,2,0,,1,0,0,0,1
One Last Boba,Garganacl,20,9,1,63,624,524,13,1,Water,1,0,0,1,1
One Last Boba,Gholdengo,6,9,1,150,49,49,5,0,,1,0,1,0,1
One Last Boba,Great Tusk,10,4,0,96,100,0,5,0,,1,0,0,1,1
One Last Boba,Samurott-Hisui,4,4,1,70,68,0,1,0,,1,0,0,0,1
One Last Boba,Slowking-Galar,10,12,0,71,269,239,9,0,,1,0,0,0,1
Tace,Amoonguss,13,13,0,194,288,259,3,0,,1,1,1,0,0
Tace,Dragonite,3,4,0,96,150,50,3,0,,1,1,0,1,0
Tace,Garganacl,18,6,0,239,313,213,5,1,Water,1,1,0,1,0
Tace,Gholdengo,10,6,1,201,250,150,6,0,,1,1,0,1,0
Tace,Great Tusk,6,3,0,51,119,19,6,0,,1,1,0,1,0
Tace,Zamazenta,7,3,1,93,125,25,4,0,,1,1,0,1,0
Unamed,Baxcalibur,5,6,2,250,100,0,2,1,Ice,1,1,0,1,0
Unamed,Dragapult,4,2,1,117,100,0,1,0,,1,1,0,1,0
Unamed,Great Tusk,0,2,0,0,112,12,2,0,,1,1,0,1,0
Unamed,Kingambit,2,6,0,96,118,18,3,0,,1,1,0,1,0
Unamed,Slowking-Galar,1,1,0,0,100,0,2,0,,1,1,0,1,0
Unamed,Zapdos,2,2,0,37,100,0,3,0,,1,1,1,1,0
msnt,Dragapult,3,3,2,213,9,0,1,0,,1,0,0,0,1
msnt,Enamorus,5,3,2,212,106,6,3,1,Steel,1,0,0,1,1
msnt,Gholdengo,1,4,0,0,150,50,4,0,,1,0,0,1,1
msnt,Great Tusk,1,2,0,66,100,0,1,0,,1,0,0,1,1
msnt,Samurott-Hisui,3,3,2,128,48,0,1,0,,1,0,0,0,1
msnt,Slowking-Galar,3,2,0,0,93,28,2,0,,1,0,1,0,1
EeveetoTheN00b,Arcanine-Hisui,1,1,1,88,0,0,0,0,,1,1,0,1,0
EeveetoTheN00b,Corviknight,3,4,0,2,173,73,5,0,,1,1,0,1,0
EeveetoTheN00b,Dondozo,7,4,1,138,118,18,4,1,Fairy,1,1,0,1,0
EeveetoTheN00b,Great Tusk,2,2,1,78,106,6,1,0,,1,1,0,1,0
EeveetoTheN00b,Muk-Alola,6,4,1,152,123,23,2,0,,1,1,1,1,0
EeveetoTheN00b,Slowking,3,3,0,15,100,0,1,0,,1,1,0,1,0
Fogbound Lake,Baxcalibur,6,2,0,98,16,0,0,0,,0,0,0,0,1
Fogbound Lake,Gholdengo,9,4,3,203,101,49,4,0,,0,0,0,0,1
Fogbound Lake,Iron Valiant,2,2,1,113,100,0,2,0,,0,0,1,1,1
Fogbound Lake,Landorus-Therian,1,2,0,5,100,0,2,0,,0,0,0,1,1
Fogbound Lake,Mimikyu,2,1,0,0,100,0,2,0,,0,0,0,1,1
Fogbound Lake,Samurott-Hisui,3,2,1,118,100,0,3,0,,0,0,0,1,1
damien the genius,Amoonguss,15,6,0,228,219,119,11,0,,1,1,1,1,0
damien the genius,Great Tusk,2,3,0,10,100,0,3,0,,1,1,0,1,0
damien the genius,Iron Valiant,4,1,1,99,100,0,2,0,,1,1,0,1,0
damien the genius,Kingambit,5,1,1,143,119,19,4,1,Flying,1,1,0,1,0
damien the genius,Walking Wake,2,3,0,50,100,0,3,0,,1,1,0,1,0
damien the genius,Zapdos,5,5,1,75,150,50,3,0,,1,1,0,1,0
pdt,Amoonguss,9,6,0,136,188,88,10,0,,0,0,0,1,1
pdt,Dragapult,1,2,0,73,100,0,3,0,,0,0,0,1,1
pdt,Enamorus,4,3,2,112,98,0,2,0,,0,0,1,1,1
pdt,Great Tusk,3,1,1,39,100,0,1,0,,0,0,0,1,1
pdt,Kingambit,3,4,1,85,94,0,4,0,,0,0,0,0,1
pdt,Ting-Lu,10,5,2,250,139,86,6,0,,0,0,0,0,1
VertXXX,Baxcalibur,2,1,1,146,100,0,3,0,,1,0,0,1,0
VertXXX,Cresselia,8,1,0,27,154,54,5,1,Poison,1,0,0,1,0
VertXXX,Glimmora,2,1,0,0,100,0,2,0,,1,0,1,1,0
VertXXX,Iron Valiant,0,1,0,0,18,0,0,0,,1,0,0,0,0
VertXXX,Sneasler,5,2,2,133,100,0,2,0,,1,0,0,1,0
VertXXX,Walking Wake,4,1,1,160,100,0,2,0,,1,0,0,1,0
Skc44,Dragapult,3,2,1,156,100,0,3,0,,1,1,1,1,1
Skc44,Enamorus-Therian,2,2,1,59,154,54,3,0,,1,1,0,1,1
Skc44,Great Tusk,3,1,1,44,125,25,6,0,,1,1,0,1,1
Skc44,Heatran,10,1,1,69,27,27,7,0,,1,1,0,0,1
Skc44,Samurott-Hisui,3,1,0,43,100,0,2,0,,1,1,0,1,1
Skc44,Scizor,1,1,1,73,0,0,0,1,Steel,1,1,0,0,1
SOULWIND,Dragapult,0,1,0,0,100,0,1,0,,1,1,0,1,0
SOULWIND,Enamorus,1,1,1,35,64,0,2,0,,1,1,0,0,0
SOULWIND,Great Tusk,1,2,0,50,113,13,2,0,,1,1,0,1,0
SOULWIND,Kingambit,3,3,1,127,100,0,2,0,,1,1,0,1,0
SOULWIND,Slowking-Galar,1,3,0,0,138,38,2,0,,1,1,0,1,0
SOULWIND,Volcanion,2,2,1,165,60,0,3,1,Fairy,1,1,1,0,0
freezai,Baxcalibur,2,1,0,5,100,0,1,0,,1,0,0,1,1
freezai,Dragapult,2,1,0,30,106,6,2,0,,1,0,0,1,1
freezai,Gholdengo,2,2,0,69,50,0,1,0,,1,0,0,0,1
freezai,Iron Valiant,5,1,4,254,0,0,0,1,Dark,1,0,0,0,1
freezai,Kingambit,1,1,0,26,21,0,1,0,,1,0,0,0,1
freezai,Samurott-Hisui,3,1,0,103,100,0,2,0,,1,0,1,1,1
Perazoa,Great Tusk,2,2,0,56,100,0,2,0,,0,0,0,1,1
Perazoa,Iron Moth,1,1,0,18,100,0,1,0,,0,0,0,1,1
Perazoa,Iron Valiant,6,1,4,251,94,0,2,0,,0,0,0,0,1
Perazoa,Kingambit,2,1,1,68,100,0,2,0,,0,0,0,1,1
Perazoa,Meowscarada,1,1,0,0,100,0,2,0,,0,0,1,1,1
Perazoa,Roaring Moon,5,1,1,198,100,0,2,0,,0,0,0,1,1
INSULT,Amoonguss,1,2,0,0,134,34,3,1,Water,1,1,0,1,0
INSULT,Baxcalibur,5,2,2,183,100,0,2,0,,1,1,1,1,0
INSULT,Dragapult,0,1,0,0,100,0,1,0,,1,1,0,1,0
INSULT,Landorus-Therian,1,3,0,45,106,6,2,0,,1,1,0,1,0
INSULT,Ting-Lu,2,1,0,94,112,12,3,0,,1,1,0,1,0
INSULT,Volcanion,4,2,3,223,100,0,3,0,,1,1,0,1,0
Uzigunner,Dragapult,3,3,2,100,106,6,1,0,,1,0,0,1,1
Uzigunner,Great Tusk,1,1,0,91,119,19,3,0,,1,0,0,1,1
Uzigunner,Kingambit,2,2,2,128,39,6,1,1,Flying,1,0,0,0,1
Uzigunner,Samurott-Hisui,4,2,1,122,118,18,3,0,,1,0,0,1,1
Uzigunner,Slowking-Galar,5,5,1,127,207,107,6,0,,1,0,1,1,1
Uzigunner,Zapdos,2,3,0,30,157,57,3,0,,1,0,0,1,1
RggV,Iron Valiant,6,1,1,129,116,16,3,1,Steel,1,1,0,1,0
RggV,Kingambit,6,2,2,187,151,51,4,0,,1,1,0,1,0
RggV,Moltres,0,1,0,0,100,0,2,0,,1,1,0,1,0
RggV,Rillaboom,4,4,1,138,107,7,1,0,,1,1,1,1,0
RggV,Sandy Shocks,5,4,0,70,112,12,3,0,,1,1,0,1,0
RggV,Sneasler,2,2,1,81,106,6,1,0,,1,1,0,1,0
Oshim,Enamorus,7,1,1,136,100,0,3,0,,1,0,0,1,0
Oshim,Great Tusk,1,2,0,53,100,0,3,0,,1,0,0,1,0
Oshim,Samurott-Hisui,2,3,0,47,100,0,3,0,,1,0,0,1,0
Oshim,Skeledirge,8,4,3,188,179,79,6,1,Water,1,0,0,1,0
Oshim,Sneasler,7,4,0,138,100,0,2,0,,1,0,1,1,0
Oshim,Zamazenta,4,1,1,108,100,0,4,0,,1,0,0,1,0
ayevon,Dragapult,5,4,3,259,100,0,2,0,,1,1,0,1,1
ayevon,Great Tusk,4,2,0,75,124,24,2,0,,1,1,0,1,1
ayevon,Rotom-Wash,8,4,1,150,143,43,6,1,Steel,1,1,0,1,1
ayevon,Slowking-Galar,3,4,0,29,199,99,4,0,,1,1,0,1,1
ayevon,Ting-Lu,0,2,0,0,112,12,3,0,,1,1,0,1,1
ayevon,Zamazenta,6,3,2,160,118,43,6,0,,1,1,1,0,1
Trosko,Baxcalibur,5,2,1,172,100,0,2,0,,0,0,0,1,0
Trosko,Garganacl,0,2,0,0,112,12,3,0,,0,0,0,1,0
Trosko,Gholdengo,2,2,0,0,134,34,2,0,,0,0,0,1,0
Trosko,Great Tusk,5,3,2,166,106,6,3,0,,0,0,0,1,0
Trosko,Slowking,4,4,0,0,200,100,5,0,,0,0,1,1,0
Trosko,Zapdos,11,2,1,101,342,242,6,0,,0,0,0,1,0
arce9,Cinderace,10,3,3,352,47,0,1,0,,1,1,0,0,1
arce9,Dragapult,8,5,2,406,100,0,2,1,Ghost,1,1,1,1,1
arce9,Great Tusk,0,1,0,0,112,12,3,0,,1,1,0,1,1
arce9,Kingambit,1,3,1,100,6,6,0,0,,1,1,0,0,1
arce9,Slowking-Galar,2,3,0,0,116,16,3,0,,1,1,0,1,1
arce9,Zapdos,5,5,0,132,100,0,5,0,,1,1,0,1,1
Spitfire arcanine,Cinderace,1,2,1,100,97,0,1,0,,1,1,0,0,1
Spitfire arcanine,Dragapult,3,3,1,80,100,0,2,0,,1,1,1,1,1
Spitfire arcanine,Great Tusk,0,0,0,0,0,0,0,0,,1,1,0,0,1
Spitfire arcanine,Kingambit,8,1,4,393,123,51,4,1,Fairy,1,1,0,0,1
Spitfire arcanine,Slowking-Galar,2,2,0,0,106,34,3,0,,1,1,0,0,1
Spitfire arcanine,Zapdos,4,2,0,27,182,150,4,0,,1,1,0,0,1
msnt,Azumarill,2,2,0,75,100,0,4,0,,1,0,1,1,0
msnt,Dragonite,2,1,0,53,100,0,2,1,Normal,1,0,0,1,0
msnt,Iron Moth,5,1,1,203,100,0,2,0,,1,0,0,1,0
msnt,Iron Valiant,1,1,0,18,100,0,1,0,,1,0,0,1,0
msnt,Kingambit,1,1,0,20,100,0,1,0,,1,0,0,1,0
msnt,Sandy Shocks,6,1,0,215,100,0,3,0,,1,0,0,1,0
Leo,Enamorus,1,2,0,93,100,0,2,1,Fairy,1,1,0,1,0
Leo,Great Tusk,0,0,0,0,0,0,0,0,,1,1,0,0,0
Leo,Kingambit,0,1,0,0,0,0,0,0,,1,1,0,0,0
Leo,Rotom-Wash,2,1,0,22,26,0,1,0,,1,1,1,0,0
Leo,Slowking-Galar,2,2,0,38,111,11,2,0,,1,1,0,1,0
Leo,Zamazenta,0,1,0,0,14,0,1,0,,1,1,0,0,0
VertXXX,Cinderace,0,0,0,0,0,0,0,0,,0,0,0,0,1
VertXXX,Garganacl,0,0,0,0,0,0,0,0,,0,0,0,0,1
VertXXX,Great Tusk,0,0,0,0,0,0,0,0,,0,0,0,0,1
VertXXX,Hoopa-Unbound,4,3,2,214,131,38,3,0,,0,0,1,0,1
VertXXX,Scream Tail,2,1,0,0,0,0,0,0,,0,0,0,0,1
VertXXX,Zapdos,2,1,0,37,22,0,2,0,,0,0,0,0,1
Fairy Peak!,Enamorus,0,0,0,0,0,0,0,0,,1,0,0,0,0
Fairy Peak!,Iron Moth,0,0,0,0,0,0,0,0,,1,0,0,0,0
Fairy Peak!,Iron Valiant,0,0,0,0,0,0,0,0,,1,0,0,0,0
Fairy Peak!,Landorus-Therian,1,2,0,18,100,0,1,0,,1,0,0,1,0
Fairy Peak!,Meowscarada,3,2,1,202,99,0,2,0,,1,0,1,0,0
Fairy Peak!,Zamazenta,0,1,0,0,100,0,1,1,Dark,1,0,0,1,0
MichaelderBeste2,Armarouge,0,0,0,0,0,0,0,0,,1,1,0,0,1
MichaelderBeste2,Azelf,1,2,0,99,100,0,1,0,,1,1,1,1,1
MichaelderBeste2,Hatterene,1,2,0,0,45,0,2,0,,1,1,0,0,1
MichaelderBeste2,Indeedee,0,1,0,0,75,0,1,0,,1,1,0,0,1
MichaelderBeste2,Polteageist,0,0,0,0,0,0,0,0,,1,1,0,0,1
MichaelderBeste2,Sneasler,3,1,2,200,0,0,0,1,Psychic,1,1,0,0,1
RUBYBLOOD,Cinderace,4,2,0,11,54,0,1,0,,1,0,1,0,1
RUBYBLOOD,Cresselia,0,1,0,0,12,6,0,0,,1,0,0,0,1
RUBYBLOOD,Dragonite,0,0,0,0,0,0,0,0,,1,0,0,0,1
RUBYBLOOD,Garganacl,5,2,1,31,250,150,6,1,Water,1,0,0,1,1
RUBYBLOOD,Slowking-Galar,4,2,0,70,120,20,3,0,,1,0,0,1,1
RUBYBLOOD,Zamazenta,11,2,1,196,122,69,4,0,,1,0,0,0,1
DugZaッ,Amoonguss,7,3,0,64,158,66,3,0,,1,1,0,0,0
DugZaッ,Baxcalibur,0,0,0,0,0,0,0,0,,1,1,0,0,0
DugZaッ,Great Tusk,5,2,0,65,47,30,2,0,,1,1,1,0,0
DugZaッ,Hoopa-Unbound,5,3,1,168,148,48,2,0,,1,1,0,1,0
DugZaッ,Iron Valiant,6,1,1,145,100,0,3,1,Ghost,1,1,0,1,0
DugZaッ,Kingambit,0,0,0,0,0,0,0,0,,1,1,0,0,0
KillaLeston,Baxcalibur,4,3,2,78,100,0,4,1,Steel,1,0,0,1,0
KillaLeston,Cresselia,0,3,0,0,100,0,4,0,,1,0,0,1,0
KillaLeston,Greninja,3,1,1,156,100,0,2,0,,1,0,0,1,0
KillaLeston,Iron Valiant,4,3,1,91,100,0,2,0,,1,0,0,1,0
KillaLeston,Samurott-Hisui,1,2,0,68,100,0,2,0,,1,0,1,1,0
KillaLeston,Sneasler,2,1,1,127,100,0,3,0,,1,0,0,1,0
Igniizard,Baxcalibur,2,1,1,94,100,0,2,0,,1,1,0,1,1
Igniizard,Gholdengo,4,3,1,155,100,0,5,0,,1,1,0,1,1
Igniizard,Great Tusk,2,1,1,100,100,0,2,0,,1,1,0,1,1
Igniizard,Kingambit,3,3,2,90,52,0,1,1,Fairy,1,1,0,0,1
Igniizard,Samurott-Hisui,2,1,1,58,100,0,2,0,,1,1,0,1,1
Igniizard,Zapdos,4,3,0,70,100,0,2,0,,1,1,1,1,1
ninjadog,Great Tusk,11,7,3,364,60,0,2,0,,1,1,0,0,1
ninjadog,Iron Valiant,0,0,0,0,0,0,0,0,,1,1,0,0,1
ninjadog,Kingambit,8,5,3,288,100,0,5,1,Ghost,1,1,0,1,1
ninjadog,Slowking-Galar,1,1,0,0,100,0,1,0,,1,1,0,1,1
ninjadog,Volcanion,3,4,0,61,100,0,3,0,,1,1,0,1,1
ninjadog,Zapdos,19,8,0,31,457,363,10,0,,1,1,1,0,1
RggV,Baxcalibur,6,6,2,261,100,0,4,0,,1,0,1,1,0
RggV,Cinderace,3,3,0,0,100,0,1,0,,1,0,0,1,0
RggV,Clodsire,6,10,0,6,233,133,8,0,,1,0,0,1,0
RggV,Corviknight,4,4,0,41,175,75,4,0,,1,0,0,1,0
RggV,Iron Valiant,10,4,1,416,100,0,3,0,,1,0,0,1,0
RggV,Zapdos-Galar,2,3,0,55,100,0,3,1,Fire,1,0,0,1,0
crying,Amoonguss,6,7,2,126,258,158,6,0,,1,1,0,1,0
crying,Dragonite,4,2,1,164,100,0,2,1,Fire,1,1,0,1,0
crying,Great Tusk,4,4,2,175,119,19,2,0,,1,1,1,1,0
crying,Iron Valiant,1,1,0,0,100,0,2,0,,1,1,0,1,0
crying,Kleavor,0,2,0,0,100,0,2,0,,1,1,0,1,0
crying,Ting-Lu,1,3,0,0,119,19,2,0,,1,1,0,1,0
Skc44,Gholdengo,3,2,1,107,100,0,2,0,,1,0,0,1,1
Skc44,Glimmora,1,1,0,1,100,0,2,0,,1,0,1,1,1
Skc44,Great Tusk,4,2,1,82,100,0,3,0,,1,0,0,1,1
Skc44,Iron Valiant,4,1,1,121,100,0,1,0,,1,0,0,1,1
Skc44,Kingambit,2,2,2,102,39,0,1,1,Fairy,1,0,0,0,1
Skc44,Walking Wake,10,3,1,334,100,0,1,0,,1,0,0,1,1
Raj.Shoot ♫ ❤ ツ,Dragapult,1,2,0,0,100,0,1,1,Ghost,1,0,0,1,0
Raj.Shoot ♫ ❤ ツ,Enamorus,3,4,1,69,100,0,2,0,,1,0,0,1,0
Raj.Shoot ♫ ❤ ツ,Great Tusk,3,5,0,57,137,37,3,0,,1,0,0,1,0
